Use,InitSel,ID#,Name,Designation,IAU/aliases/other,Diameter,Mass,GM,Color
n,n,0,Solar System Barycenter,,SSB,,,none
n,n,1,Mercury Barycenter,,,,,,none
n,n,2,Venus Barycenter,,,,,,none
n,n,3,Earth-Moon Barycenter,,EMB,,,,none
n,n,4,Mars Barycenter,,,,,,none
n,n,5,Jupiter Barycenter,,,,,,none
n,n,6,Saturn Barycenter,,,,,,none
n,n,7,Uranus Barycenter,,,,,,none
n,n,8,Neptune Barycenter,,,,,,none
n,n,9,Pluto Barycenter,,,,,,none
y,y,10,Sun,,Sol,1.3927E+06,1.9885E+30,1.32712E+11,Yellow
n,n,31,SEMB-L1,,Lagrange,,,,none
n,n,32,SEMB-L2,,Lagrange,,,,none
n,n,34,SEMB-L4,,Lagrange,,,,none
n,n,35,SEMB-L5,,Lagrange,,,,none
y,y,199,Mercury,,,4.8794E+03,3.3020E+23,22031.86855,SlateGray
y,y,299,Venus,,,1.2104E+04,4.8685E+24,22031.86855,White
y,y,301,Moon,,Luna,3.4748E+03,7.3490E+22,4902.800066,SlateGray
y,y,399,Earth,,Geocenter,1.2742E+04,5.9722E+24,398600.4354,Blue
y,y,401,Phobos,,MI,2.2533E+01,1.0800E+16,,Green
y,y,402,Deimos,,MII,1.2400E+01,1.8000E+15,,Green
y,y,499,Mars,,,6.7790E+03,6.4171E+23,42828.37521,DarkRed
y,n,501,Io,,JI,3.6432E+03,8.9319E+22,5959.9155,none
y,n,502,Europa,,JII,3.1216E+03,4.8000E+22,3202.7121,none
y,n,503,Ganymede,,JIII,5.2682E+03,1.4819E+23,9887.8328,none
y,n,504,Callisto,,JIV,4.8206E+03,1.0759E+23,7179.2834,none
y,n,505,Amalthea,,JV,1.6700E+02,7.1700E+18,0.1646,none
y,n,506,Himalia,,JVI,1.7000E+02,4.2000E+18,0.151552,none
n,n,507,Elara,,JVII,,,,none
n,n,508,Pasiphae,,JVIII,,,,none
n,n,509,Sinope,,JIX,,,,none
n,n,510,Lysithea,,JX,,,,none
n,n,511,Carme,,JXI,,,,none
n,n,512,Ananke,,JXII,,,,none
n,n,513,Leda,,JXIII,,,,none
y,n,514,Thebe,,JXIV,9.8600E+01,4.3000E+17,0.0301,none
y,n,515,Adrastea,,JXV,1.6400E+01,1.9100E+16,0.0001,none
n,n,516,Metis,,JXVI,4.5000E+01,,0.0025,none
n,n,517,Callirrhoe,1999J1,JXVII,,,,none
n,n,518,Themisto,1975J1,JXVIII 2000J1,,,,none
n,n,519,Megaclite,2000J8,JXIX,,,,none
n,n,520,Taygete,2000J9,JXX,,,,none
n,n,521,Chaldene,2000J10,JXXI,,,,none
n,n,522,Harpalyke,2000J5,JXXII,,,,none
n,n,523,Kalyke,2000J2,JXXIII,,,,none
n,n,524,Iocaste,2000J3,JXXIV,,,,none
n,n,525,Erinome,2000J4,JXXV,,,,none
n,n,526,Isonoe,2000J6,JXXVI,,,,none
n,n,527,Praxidike,2000J7,JXXVII,,,,none
n,n,528,Autonoe,2001J1,JXXVIII,,,,none
n,n,529,Thyone,2001J2,JXXIX,,,,none
n,n,530,Hermippe,2001J3,JXXX,,,,none
n,n,531,Aitne,2001J11,JXXXI,,,,none
n,n,532,Eurydome,2001J4,JXXXII,,,,none
n,n,533,Euanthe,2001J7,JXXXIII,,,,none
n,n,534,Euporie,2001J10,JXXXIV,,,,none
n,n,535,Orthosie,2001J9,JXXXV,,,,none
n,n,536,Sponde,2001J5,JXXXVI,,,,none
n,n,537,Kale,2001J8,JXXXVII,,,,none
n,n,538,Pasithee,2001J6,JXXXVIII,,,,none
n,n,539,Hegemone,2003J8,JXXXIX,,,,none
n,n,540,Mneme,2003J21,JXL,,,,none
n,n,541,Aoede,2003J7,JXLI,,,,none
n,n,542,Thelxinoe,2003J22,JXLII,,,,none
n,n,543,Arche,2002J1,JXLIII,,,,none
n,n,544,Kallichore,2003J11,JXLIV,,,,none
n,n,545,Helike,2003J6,JXLV,,,,none
n,n,546,Carpo,2003J20,JXLVI,,,,none
n,n,547,Eukelade,2003J1,JXLVII,,,,none
n,n,548,Cyllene,2003J13,JXLVIII,,,,none
n,n,549,Kore,2003J14,JXLIX,,,,none
n,n,550,Herse,2003J17,JXLXII,,,,none
n,n,551,,2010J1,JLI,,,,none
n,n,552,,2010J2,JLII,,,,none
n,n,553,Dia,2000J11,JLIII,,,,none
n,n,554,,2016J1,JLIV,,,,none
n,n,555,,2003J18,JLV 55069,,,,none
n,n,556,,2011J2,JLVI 55075,,,,none
n,n,557,Eirene,2003J5,JLVII 55063,,,,none
